Staten Island Rolling Sales File.  All Sales From March 2016 - February 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 3/9/2017  Co-op Sales Files as of 3/10/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 1/6/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6278,88, ,A5,286 IONIA AVENUE                         ,            ,10312, 1 , -   , 1 ," 3,000 "," 1,080 ",1986,1,A5,"375,000",04/11/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6279,166, ,A1,164 NORTH RAILROAD ST                    ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,138 ",1975,1,A1,0,28/09/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6280,20, ,A1,396 EDGEGROVE AVENUE                     ,            ,10312, 1 , -   , 1 ," 8,400 "," 3,600 ",1986,1,A1,"780,000",31/10/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6297,19, ,A1,442 LAMONT AVENUE                        ,            ,10312, 1 , -   , 1 ," 8,000 "," 2,148 ",1970,1,A1,10,28/07/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6298,32, ,A2,190 HEENAN AVENUE                        ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,932 ",1975,1,A2,0,09/06/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6299,66, ,A2,131 RAMONA AVENUE                        ,            ,10312, 1 , -   , 1 ," 6,000 "," 1,949 ",1974,1,A2,"635,000",24/08/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6300,63, ,A1,441 RATHBUN AVENUE                       ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,083 ",1970,1,A1,"675,000",20/09/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6301,60, ,A1,475 RENSSELAER AVENUE                    ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,152 ",1970,1,A1,0,09/01/17
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1B,6304,39, ,V0,32 HEENAN AVENUE                         ,            ,10312, 1 , -   , 1 ," 6,000 ", -   ,1950,1,A0,0,15/04/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6305,79, ,A3,30 CROWN PLACE                           ,            ,10312, 1 , -   , 1 ," 10,296 "," 4,850 ",1984,1,A3,0,18/03/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6320,1, ,A2,184 ALBEE AVENUE                         ,            ,10312, 1 , -   , 1 ," 8,000 "," 1,332 ",1965,1,A2,"662,500",23/09/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6320,12, ,A2,115 DOWNES AVENUE                        ,            ,10312, 1 , -   , 1 ," 8,000 ", 936 ,1950,1,A2,"880,000",27/09/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6321,11, ,A1,11 ALVINE AVENUE                         ,            ,10312, 1 , -   , 1 ," 7,250 "," 3,040 ",2004,1,A1,1,23/05/16
